2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 13:45:29 [INFO]  -------------------
2025-12-12 13:45:39 [INFO]  -------------------
2025-12-12 13:45:39 [INFO]  Batch 4350
2025-12-12 13:45:39 [INFO]  -------------------
2025-12-12 13:45:53 [INFO]  -------------------
2025-12-12 13:45:53 [INFO]  Batch 4400
2025-12-12 13:45:53 [INFO]  -------------------
2025-12-12 13:46:03 [INFO]  -------------------
2025-12-12 13:46:03 [INFO]  Batch 4450
2025-12-12 13:46:03 [INFO]  -------------------
2025-12-12 13:46:13 [INFO]  -------------------
2025-12-12 13:46:13 [INFO]  Batch 4500
2025-12-12 13:46:13 [INFO]  -------------------
2025-12-12 13:46:22 [INFO]  -------------------
2025-12-12 13:46:22 [INFO]  Batch 4550
2025-12-12 13:46:22 [INFO]  -------------------
2025-12-12 13:46:31 [INFO]  -------------------
2025-12-12 13:46:31 [INFO]  Batch 4600
2025-12-12 13:46:31 [INFO]  -------------------
2025-12-12 13:46:40 [INFO]  -------------------
2025-12-12 13:46:40 [INFO]  Batch 4650
2025-12-12 13:46:40 [INFO]  -------------------
2025-12-12 13:46:49 [INFO]  -------------------
2025-12-12 13:46:49 [INFO]  Batch 4700
2025-12-12 13:46:49 [INFO]  -------------------
2025-12-12 13:46:59 [INFO]  -------------------
2025-12-12 13:46:59 [INFO]  Batch 4750
2025-12-12 13:46:59 [INFO]  -------------------
2025-12-12 13:47:07 [INFO]  -------------------
2025-12-12 13:47:07 [INFO]  Batch 4800
2025-12-12 13:47:07 [INFO]  -------------------
2025-12-12 13:47:17 [INFO]  -------------------
2025-12-12 13:47:17 [INFO]  Batch 4850
2025-12-12 13:47:17 [INFO]  -------------------
2025-12-12 13:47:26 [INFO]  -------------------
2025-12-12 13:47:26 [INFO]  Batch 4900
2025-12-12 13:47:26 [INFO]  -------------------
2025-12-12 13:47:35 [INFO]  -------------------
2025-12-12 13:47:35 [INFO]  Batch 4950
2025-12-12 13:47:35 [INFO]  -------------------
2025-12-12 13:47:45 [INFO]  -------------------
2025-12-12 13:47:45 [INFO]  Batch 5000
2025-12-12 13:47:45 [INFO]  -------------------
2025-12-12 13:47:54 [INFO]  -------------------
2025-12-12 13:47:54 [INFO]  Batch 5050
2025-12-12 13:47:54 [INFO]  -------------------
2025-12-12 13:48:03 [INFO]  -------------------
2025-12-12 13:48:03 [INFO]  Batch 5100
2025-12-12 13:48:03 [INFO]  -------------------
2025-12-12 13:48:12 [INFO]  -------------------
2025-12-12 13:48:12 [INFO]  Batch 5150
2025-12-12 13:48:12 [INFO]  -------------------
2025-12-12 13:48:21 [INFO]  -------------------
2025-12-12 13:48:21 [INFO]  Batch 5200
2025-12-12 13:48:21 [INFO]  -------------------
2025-12-12 13:48:30 [INFO]  -------------------
2025-12-12 13:48:30 [INFO]  Batch 5250
2025-12-12 13:48:30 [INFO]  -------------------
