2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:11 - Warrants Logs
2025-10-07 08:23:11 - Batch 0
2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:40 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400016: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:40 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400017: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:41 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400018: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:42 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400019: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:42 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400020: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:43 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400021: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:43 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400022: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:44 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400023: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:44 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400024: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:45 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400025: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:45 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400026: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:46 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400027: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:46 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400028: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:47 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400029: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:47 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400030: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:48 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400031: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:48 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400032: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:48 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400033: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:49 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400034: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:50 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400035: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:50 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400036: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:50 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400037: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:51 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400038: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:51 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400039: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:51 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400040: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:52 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400041: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:52 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400042: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:52 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400043: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:53 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400044: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:53 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400045: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:53 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400046: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:54 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400047: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:54 - -------------------
2025-10-07 08:23:54 - Warrants Logs
2025-10-07 08:23:54 - Batch 100
2025-10-07 08:23:54 - -------------------
2025-10-07 08:23:55 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400048: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:55 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400049: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:55 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400050: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:56 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400051: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:56 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400052: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:57 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400053: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:58 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013A3620400054: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:58 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400001: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:59 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400002: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:59 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400003: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:59 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400004: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:00 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400005: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:00 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400006: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:00 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400007: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:01 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400008: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:01 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400009: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:02 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400010: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:02 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400011: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:03 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400012: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:24:03 - Insertion failed for Warrant Number Unknown: InternalServerError - 2013C3620400013: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
